LON,LAT,X
-118.5886,34.2464,5.0
-118.5886,34.2482,3.0
-118.5886,34.2484,8.0
-118.5886,34.25,12.0
-118.5886,34.2518,4.0
-118.5886,34.2554,1.0
-118.5886,34.2573,5.0
-118.5886,34.2609,1.0
-118.5886,34.2645,1.0
-118.5886,34.27,4.0
-118.5885,34.2246,4.0
-118.5885,34.227,1.0
-118.5885,34.2286,1.0
-118.5885,34.2306,1.0
-118.5885,34.2318,1.0
-118.5885,34.2323,6.0
-118.5885,34.233,1.0
-118.5885,34.234,3.0
-118.5885,34.2355,34.0
-118.5885,34.2383,2.0
-118.5885,34.2448,1.0
-118.5885,34.2572,1.0
-118.5882,34.1664,1.0
-118.5877,34.1981,1.0
-118.5872,34.2379,1.0
-118.587,34.2573,3.0
-118.5867,34.2373,1.0
-118.5867,34.25,1.0
-118.5866,34.2372,1.0
-118.5865,34.2518,1.0
-118.5864,34.2246,1.0
-118.5864,34.2409,9.0
-118.5864,34.2573,3.0
-118.5863,34.2701,1.0
-118.586,34.2373,3.0
-118.586,34.2451,1.0
-118.5859,34.1665,7.0
-118.5855,34.2373,2.0
-118.5854,34.2373,1.0
-118.5854,34.2941,1.0
-118.5851,34.2965,1.0
-118.5851,34.2995,1.0
-118.585,34.2958,4.0
-118.5847,34.2254,1.0
-118.5844,34.2427,3.0
-118.5842,34.2337,1.0
-118.5842,34.2354,5.0
-118.5842,34.2372,7.0
-118.5842,34.2409,15.0
-118.5842,34.2427,1.0
-118.5842,34.2445,1.0
-118.5842,34.2463,2.0
-118.5842,34.2464,2.0
-118.5842,34.2481,6.0
-118.5842,34.25,3.0
-118.5842,34.2609,1.0
-118.5841,34.232,4.0
-118.5841,34.2402,1.0
-118.5841,34.2465,8.0
-118.5839,34.2876,3.0
-118.5839,34.2879,1.0
-118.5836,34.2913,2.0
-118.5834,34.298,1.0
-118.5834,34.301,1.0
-118.5829,34.2332,8.0
-118.5828,34.2929,3.0
-118.5824,34.2818,1.0
-118.5823,34.2463,1.0
-118.582,34.2427,7.0
-118.582,34.2463,1.0
-118.582,34.2651,63.0
-118.5819,34.2828,1.0
-118.5819,34.2945,1.0
-118.5818,34.2807,1.0
-118.5818,34.2818,1.0
-118.5818,34.2856,2.0
-118.5818,34.2945,2.0
-118.5816,34.2682,1.0
-118.5816,34.3001,1.0
-118.5814,34.2322,6.0
-118.5813,34.25,1.0
-118.581,34.2982,1.0
-118.5809,34.2846,1.0
-118.5808,34.297,1.0
-118.5807,34.2402,23.0
-118.5807,34.2992,3.0
-118.5806,34.25,1.0
-118.5806,34.2595,1.0
-118.5804,34.2244,26.0
-118.5803,34.2318,6.0
-118.5801,34.2306,1.0
-118.5798,34.2337,1.0
-118.5798,34.2355,3.0
-118.5798,34.2375,3.0
-118.5798,34.2391,3.0
-118.5798,34.2411,2.0
-118.5798,34.2427,2.0
-118.5798,34.2445,3.0
-118.5798,34.2484,16.0
-118.5798,34.25,8.0
-118.5798,34.2536,18.0
-118.5798,34.2551,4.0
-118.5798,34.2555,2.0
-118.5798,34.2573,17.0
-118.5798,34.2608,1.0
-118.5798,34.3008,1.0
-118.5797,34.2011,2.0
-118.5797,34.2318,8.0
-118.5797,34.288,3.0
-118.5793,34.1521,1.0
-118.5793,34.1919,1.0
-118.5791,34.2748,7.0
-118.5789,34.2771,1.0
-118.5787,34.25,1.0
-118.5787,34.2748,1.0
-118.5784,34.2431,1.0
-118.5782,34.2318,1.0
-118.5782,34.2876,6.0
-118.5781,34.2881,4.0
